('CZ75-Auto | Tuxedo', False, False)
('★ Navaja Knife | Tiger Tooth', True, False)
('★ Navaja Knife | Boreal Forest', True, False)
('★ Navaja Knife | Marble Fade', True, False)
('★ Navaja Knife | Forest DDPAT', True, False)
('★ Navaja Knife | Case Hardened', True, False)
('★ Navaja Knife | Crimson Web', True, False)
('★ Navaja Knife | Fade', True, False)
('★ Navaja Knife | Slaughter', True, False)
('★ Navaja Knife', True, False)
('★ Navaja Knife | Urban Masked', True, False)
('★ Navaja Knife | Stained', True, False)
('★ Nomad Knife | Fade', True, False)
('★ Nomad Knife | Boreal Forest', True, False)
('★ Nomad Knife | Scorched', True, False)
('★ Nomad Knife | Blue Steel', True, False)
('★ Nomad Knife | Forest DDPAT', True, False)
('★ Nomad Knife | Slaughter', True, False)
('★ Nomad Knife | Night Stripe', True, False)
('★ Nomad Knife | Urban Masked', True, False)
('★ Nomad Knife | Crimson Web', True, False)
('★ Nomad Knife | Stained', True, False)
('★ Nomad Knife', True, False)
('★ Nomad Knife | Safari Mesh', True, False)
('★ Nomad Knife | Case Hardened', True, False)
('★ Paracord Knife | Crimson Web', True, False)
('★ Paracord Knife | Urban Masked', True, False)
('★ Paracord Knife | Stained', True, False)
('★ Paracord Knife | Forest DDPAT', True, False)
('★ Paracord Knife | Fade', True, False)
('★ Paracord Knife | Boreal Forest', True, False)
('★ Paracord Knife | Case Hardened', True, False)
('★ Paracord Knife | Night Stripe', True, False)
('★ Paracord Knife | Scorched', True, False)
('★ Paracord Knife | Safari Mesh', True, False)
('★ Paracord Knife', True, False)
('★ Paracord Knife | Slaughter', True, False)
('★ Paracord Knife | Blue Steel', True, False)
('★ Shadow Daggers | Gamma Doppler', True, False)
('★ Shadow Daggers | Lore', True, False)
('★ Shadow Daggers | Marble Fade', True, False)
('★ Shadow Daggers | Bright Water', True, False)
('★ Shadow Daggers | Doppler', True, False)
('★ Shadow Daggers | Autotronic', True, False)
('★ Shadow Daggers | Freehand', True, False)
('★ Shadow Daggers | Tiger Tooth', True, False)
('★ Shadow Daggers | Ultraviolet', True, False)
('★ Shadow Daggers | Boreal Forest', True, False)
('★ Shadow Daggers | Fade', True, False)
('★ Shadow Daggers | Night', True, False)
('★ Shadow Daggers | Damascus Steel', True, False)
('★ Shadow Daggers | Slaughter', True, False)
('★ Shadow Daggers | Black Laminate', True, False)
('★ Shadow Daggers | Case Hardened', True, False)
('★ Shadow Daggers | Urban Masked', True, False)
('★ Shadow Daggers | Forest DDPAT', True, False)
('★ Shadow Daggers | Rust Coat', True, False)
('★ Shadow Daggers | Crimson Web', True, False)
('★ Shadow Daggers', True, False)
('★ Shadow Daggers | Stained', True, False)
('★ Shadow Daggers | Safari Mesh', True, False)
('★ Shadow Daggers | Scorched', True, False)
('★ Shadow Daggers | Blue Steel', True, False)
('★ Skeleton Knife | Case Hardened', True, False)
('★ Skeleton Knife | Scorched', True, False)
('★ Skeleton Knife | Urban Masked', True, False)
('★ Skeleton Knife | Boreal Forest', True, False)
('★ Skeleton Knife | Crimson Web', True, False)
('★ Skeleton Knife | Stained', True, False)
('★ Skeleton Knife | Night Stripe', True, False)
('★ Skeleton Knife | Forest DDPAT', True, False)
('★ Skeleton Knife', True, False)
('★ Skeleton Knife | Safari Mesh', True, False)
('★ Skeleton Knife | Blue Steel', True, False)
('★ Skeleton Knife | Slaughter', True, False)
('★ Skeleton Knife | Fade', True, False)
('★ Stiletto Knife | Case Hardened', True, False)
('★ Stiletto Knife | Fade', True, False)
('★ Stiletto Knife | Blue Steel', True, False)
('★ Stiletto Knife | Rust Coat', True, False)
('★ Stiletto Knife | Doppler', True, False)
('★ Stiletto Knife | Forest DDPAT', True, False)
('★ Stiletto Knife | Safari Mesh', True, False)
('★ Stiletto Knife | Boreal Forest', True, False)
('★ Stiletto Knife', True, False)
('★ Stiletto Knife | Crimson Web', True, False)
('★ Stiletto Knife | Night Stripe', True, False)
('★ Stiletto Knife | Stained', True, False)
('★ Stiletto Knife | Urban Masked', True, False)
('★ Stiletto Knife | Scorched', True, False)
('★ Stiletto Knife | Ultraviolet', True, False)
('★ Stiletto Knife | Damascus Steel', True, False)
('★ Stiletto Knife | Tiger Tooth', True, False)
('★ Stiletto Knife | Slaughter', True, False)
('★ Stiletto Knife | Marble Fade', True, False)
('★ Survival Knife | Slaughter', True, False)
('★ Survival Knife | Blue Steel', True, False)
('★ Survival Knife | Fade', True, False)
('★ Survival Knife | Stained', True, False)
('★ Survival Knife | Crimson Web', True, False)
('★ Survival Knife | Forest DDPAT', True, False)
('★ Survival Knife | Safari Mesh', True, False)
('★ Survival Knife | Scorched', True, False)
('★ Survival Knife', True, False)
('★ Survival Knife | Case Hardened', True, False)
('★ Survival Knife | Night Stripe', True, False)
('★ Survival Knife | Urban Masked', True, False)
('★ Survival Knife | Boreal Forest', True, False)
('★ Talon Knife | Doppler', True, False)
('★ Talon Knife | Ultraviolet', True, False)
('★ Talon Knife | Marble Fade', True, False)
('★ Talon Knife | Blue Steel', True, False)
('★ Talon Knife | Stained', True, False)
('★ Talon Knife | Scorched', True, False)
('★ Talon Knife', True, False)
('★ Talon Knife | Night Stripe', True, False)
('★ Talon Knife | Crimson Web', True, False)
('★ Talon Knife | Boreal Forest', True, False)
('★ Talon Knife | Safari Mesh', True, False)
('★ Talon Knife | Case Hardened', True, False)
('★ Talon Knife | Damascus Steel', True, False)
('★ Talon Knife | Rust Coat', True, False)
('★ Talon Knife | Urban Masked', True, False)
('★ Talon Knife | Forest DDPAT', True, False)
('★ Talon Knife | Tiger Tooth', True, False)
('★ Talon Knife | Slaughter', True, False)
('★ Talon Knife | Fade', True, False)
('★ Ursus Knife | Blue Steel', True, False)
('★ Ursus Knife | Stained', True, False)
('★ Ursus Knife | Damascus Steel', True, False)
('★ Ursus Knife | Doppler', True, False)
('★ Ursus Knife | Case Hardened', True, False)
('★ Ursus Knife | Ultraviolet', True, False)
('★ Ursus Knife | Marble Fade', True, False)
('★ Ursus Knife | Scorched', True, False)
('★ Ursus Knife | Crimson Web', True, False)
('★ Ursus Knife | Slaughter', True, False)
('★ Ursus Knife | Night Stripe', True, False)
('★ Ursus Knife | Rust Coat', True, False)
('★ Ursus Knife | Boreal Forest', True, False)
('★ Ursus Knife', True, False)
('★ Ursus Knife | Forest DDPAT', True, False)
('★ Ursus Knife | Urban Masked', True, False)
('★ Ursus Knife | Safari Mesh', True, False)
('★ Ursus Knife | Tiger Tooth', True, False)
('★ Ursus Knife | Fade', True, False)
('★ Bloodhound Gloves | Guerrilla', False, False)
('★ Bloodhound Gloves | Snakebite', False, False)
('★ Bloodhound Gloves | Bronzed', False, False)
('★ Bloodhound Gloves | Charred', False, False)
('★ Broken Fang Gloves | Jade', False, False)
('★ Broken Fang Gloves | Yellow-banded', False, False)
('★ Broken Fang Gloves | Needle Point', False, False)
('★ Broken Fang Gloves | Unhinged', False, False)
('★ Driver Gloves | Rezan the Red', False, False)
('★ Driver Gloves | Imperial Plaid', False, False)
('★ Driver Gloves | Snow Leopard', False, False)
('★ Driver Gloves | Crimson Weave', False, False)
('★ Driver Gloves | Racing Green', False, False)
('★ Driver Gloves | Overtake', False, False)
('★ Driver Gloves | Black Tie', False, False)
('★ Driver Gloves | Queen Jaguar', False, False)
('★ Driver Gloves | Lunar Weave', False, False)
('★ Driver Gloves | King Snake', False, False)
('★ Driver Gloves | Diamondback', False, False)
('★ Driver Gloves | Convoy', False, False)
('★ Hand Wraps | CAUTION!', False, False)
('★ Hand Wraps | Duct Tape', False, False)
('★ Hand Wraps | Desert Shamagh', False, False)
('★ Hand Wraps | Cobalt Skulls', False, False)
('★ Hand Wraps | Constrictor', False, False)
('★ Hand Wraps | Overprint', False, False)
('★ Hand Wraps | Slaughter', False, False)
('★ Hand Wraps | Arboreal', False, False)
('★ Hand Wraps | Badlands', False, False)
('★ Hand Wraps | Giraffe', False, False)
('★ Hand Wraps | Leather', False, False)
('★ Hand Wraps | Spruce DDPAT', False, False)
('★ Hydra Gloves | Mangrove', False, False)
('★ Hydra Gloves | Emerald', False, False)
('★ Hydra Gloves | Rattler', False, False)
('★ Hydra Gloves | Case Hardened', False, False)
('★ Moto Gloves | Blood Pressure', False, False)
('★ Moto Gloves | Polygon', False, False)
('★ Moto Gloves | Smoke Out', False, False)
('★ Moto Gloves | Finish Line', False, False)
('★ Moto Gloves | Turtle', False, False)
('★ Moto Gloves | Cool Mint', False, False)
('★ Moto Gloves | POW!', False, False)
('★ Moto Gloves | Transport', False, False)
('★ Moto Gloves | 3rd Commando Company', False, False)
('★ Moto Gloves | Boom!', False, False)
('★ Moto Gloves | Spearmint', False, False)
('★ Moto Gloves | Eclipse', False, False)
('★ Specialist Gloves | Marble Fade', False, False)
('★ Specialist Gloves | Tiger Strike', False, False)
('★ Specialist Gloves | Field Agent', False, False)
('★ Specialist Gloves | Lt. Commander', False, False)
('★ Specialist Gloves | Buckshot', False, False)
('★ Specialist Gloves | Crimson Web', False, False)
('★ Specialist Gloves | Mogul', False, False)
('★ Specialist Gloves | Fade', False, False)
('★ Specialist Gloves | Foundation', False, False)
('★ Specialist Gloves | Crimson Kimono', False, False)
('★ Specialist Gloves | Emerald Web', False, False)
('★ Specialist Gloves | Forest DDPAT', False, False)
('★ Sport Gloves | Omega', False, False)
('★ Sport Gloves | Bronze Morph', False, False)
('★ Sport Gloves | Vice', False, False)
('★ Sport Gloves | Big Game', False, False)
('★ Sport Gloves | Nocts', False, False)
('★ Sport Gloves | Slingshot', False, False)
('★ Sport Gloves | Scarlet Shamagh', False, False)
("★ Sport Gloves | Pandora's Box", False, False)
('★ Sport Gloves | Amphibious', False, False)
('★ Sport Gloves | Arid', False, False)
('★ Sport Gloves | Superconductor', False, False)
('★ Sport Gloves | Hedge Maze', False, False)
